os,version,reboot_required,installedversion,name,filename
RED HAT LINUX,20.6.1.0-rhel7u3,No,Not Installed,Userspace Library for Broadcom ROCE Device.,libbnxtre-20.6.1.0-rhel7u3.x86_64.rpm
RED HAT LINUX,10.60.2109-2176,No,10.50.2007-2076,Insight Diagnostics,hpdiags-10.60.2109-2176.linux.x86_64.rpm
RED HAT LINUX,2.18.10  Device 0 [nvm:20.6.31 ],Yes,Device 0 [nvm:17.3.43 ],HPE Broadcom NX1 Online Firmware Upgrade Utility for Linux x86_64 firmware,firmware-nic-broadcom-2.18.10-1.1.x86_64.rpm
RED HAT LINUX,3.137q-1.rhel7u3,No,Not Installed,tg3 kernel module(s),kmod-tg3-3.137q-1.rhel7u3.x86_64.rpm
RED HAT LINUX,2.6.0-2378.57.rhel7,No,2.4.0-1906.29.rhel7,Agentless Management Service,hp-ams-2.6.0-2378.57.rhel7.x86_64.rpm
RED HAT LINUX,2.70-17.0,No,Not Installed,Command Line Smart Storage Administrator,ssacli-2.70-17.0.x86_64.rpm
RED HAT LINUX,8.18.5.0-1.rhel7u3,No,Not Installed,QLogic libqedr libraries,qlgc-libqedr-8.18.5.0-1.rhel7u3.x86_64.rpm
RED HAT LINUX,1.0.5  Device 0 [rom:2.40.5030 ],Yes,Device 0 [rom:2.36.5000 ],Online Firmware Upgrade Utility (Linux x86_64) for HPE Mellanox VPI ,firmware-hca-mellanox-vpi-eth-ib-1.0.5-1.1.x86_64.rpm
RED HAT LINUX,2.11.4.3-1.rhel7u3,No,Not Installed,iscsiuio daemon program,iscsiuio-2.11.4.3-1.rhel7u3.x86_64.rpm
RED HAT LINUX,2.53,No,2.44,HPE Integrated Lights-Out 4 firmware,hp-firmware-ilo4-2.53-1.1.i386.rpm
RED HAT LINUX,10.60-1833.32.rhel7,No,10.40-1777.17.rhel7,HPE System Health Application and Command Line Utilities,hp-health-10.60-1833.32.rhel7.x86_64.rpm
RED HAT LINUX,3.4-OFED.3.4.2.1.5.1.ged26eb5.rhel7u3,No,Not Installed,RoCE User Space package,mlnx-ofa_kernel-3.4-OFED.3.4.2.1.5.1.ged26eb5.rhel7u3.x86_64.rpm
RED HAT LINUX,3.4-OFED.3.4.2.1.5.1.ged26eb5.rhel7u3,No,Not Installed,mlnx-ofa_kernel kernel module(s),kmod-mlnx-ofa_kernel-3.4-OFED.3.4.2.1.5.1.ged26eb5.rhel7u3.x86_64.rpm
RED HAT LINUX,3.4.18-105.rhel7u3,No,Not Installed,hpsa kernel module(s) for rhel7u3 x86_64 (d178/s672),kmod-hpsa-3.4.18-105.rhel7u3.x86_64.rpm
RED HAT LINUX,2.70-17.0,No,Not Installed,Smart Storage Administrator,ssa-2.70-17.0.x86_64.rpm
RED HAT LINUX,2.0.0-114.linux,No,Not Installed,Smart Update Tools for Linux x64,sut-2.0.0-114.linux.x86_64.rpm
RED HAT LINUX,2.3.0-2,No,Not Installed,HPE provided application to extract AHS log file from the system.,AHSdownload-2.3.0-2.x86_64.rpm
RED HAT LINUX,P89 2.40 - (02/17/2017),Yes,P89 2.22 - (07/18/2016),HPE ProLiant DL380 Gen9/DL360 Gen9 (P89) Servers firmware,firmware-system-p89-2.40_2017_02_17-1.1.i386.rpm
RED HAT LINUX,5.0.0-0,No,4.6.0-0,Hponcfg - HP Lights-Out Online Configuration Utility,hponcfg-5.0.0-0.x86_64.rpm
RED HAT LINUX,1.0.0-2399.105.rhel7,No,Not Installed,Agentless Management Service,amsd-1.0.0-2399.105.rhel7.x86_64.rpm
RED HAT LINUX,5.04,Yes,4.52,Smart Array Px4x Hx4x fwfirmware,hp-firmware-smartarray-ea3138d8e8-5.04-1.1.x86_64.rpm
RED HAT LINUX,7.6.1-4,No,7.5.4-3,HPE System Management Homepage,hpsmh-7.6.1-4.x86_64.rpm
RED HAT LINUX,1.0.20-1,No,1.0.19-1,TG3SD Daemon For Sensor Data,hp-tg3sd-1.0.20-1.x86_64.rpm
RED HAT LINUX,2.70-17.0,No,Not Installed,Smart Storage Diagnostics and SmartSSD Wear Gauge Utility CLI,ssaducli-2.70-17.0.x86_64.rpm
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
